UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo,Currency
351,AY,1,1001,0,LHR,GRR,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,86,ORD,ORD,US,3,19:05,LHR,LON,GB,5,1,08:40,77W,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
340,LH,1,1001,0,LHR,DFW,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,LH,9354,LHR,LON,GB,2,10:25,ORD,ORD,US,5,0,13:35,359,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
340,LH,1,1001,0,LHR,DFW,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,LH,7468,ORD,ORD,US,1,15:50,DFW,DFW,US,E,0,18:25,ER4,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
340,LH,1,1001,0,LHR,DFW,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,LH,8662,DFW,DFW,US,E,17:30,IAH,IAH,US,B,0,18:42,CR9,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
340,LH,1,1001,0,LHR,DFW,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,LH,7620,IAH,IAH,US,E,20:10,LHR,LON,GB,2,1,11:15,772,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
339,LH,1,2500,0,LHR,LOS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,1,LH,921,LHR,LON,GB,2,06:30,FRA,FRA,DE,1,0,09:05,32N,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
339,LH,1,2500,0,LHR,LOS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,2,LH,568,FRA,FRA,DE,1,11:15,LOS,LOS,NG,I,0,16:45,333,False,1,1 Pc check-in baggage included in the fare,0,1 Pcs included,GBP
339,LH,1,2500,0,LHR,LOS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,3,LH,569,LOS,LOS,NG,I,22:55,FRA,FRA,DE,1,1,06:20,333,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
339,LH,1,2500,0,LHR,LOS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,LH,4,LH,902,FRA,FRA,DE,1,09:00,LHR,LON,GB,2,0,09:40,32N,True,1,1 Pc check-in baggage included in the fare,1,1 Pcs included,GBP
338,AY,1,1001,2,LHR,FSD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5493,LHR,LON,GB,5,15:45,DFW,DFW,US,D,0,20:10,789,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
